Duration (hrs.),FDOT 2-Year (50%),FDOT 5-Year (20%),FDOT 10-Year (10%),FDOT 25-Year (4%),FDOT 50-Year (2%),FDOT 100-Year (1%)
0.133333333,0.8,0.91,0.99,1.126,1.21,1.28
0.166666667,0.93,1.083,1.2,1.35,1.47,1.55
0.25,1.25,1.45,1.58,1.8,2,2.13
0.5,1.83,2.1,2.32,2.68,2.95,3.18
1,2.3,2.8,3.2,3.7,4,4.4
2,3,3.6,4.1,4.7,5.2,5.8
4,3.5,4.4,5,5.9,6.4,7.2
8,4.2,5.5,6.2,7.4,8,8.9
24,4.7,6.4,7.5,8.7,9.6,10.9
48,5.6,7.2,8.4,9.7,11.1,12.5
72,6.1,7.8,9,10.6,12.1,13.5
96,6.6,8.4,9.6,11.5,13.1,14.5
168,7.6,9.6,11,13,14.3,16
240,8.5,10.5,12.5,14.2,15.8,17
